"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"79","Dare Ogunbowale (HOU)","43","137","3.2","12","0","1","13","21","114","8.8","1","0","13","50.1","3.9","0.6%"
"80","Peyton Barber (FA)","55","212","3.9","27","0","2","10","13","67","6.7","0","0","10","49.9","5.0","0.6%"
"81","Chris Evans (CIN)","17","77","4.5","13","0","0","15","17","151","10.1","2","0","9","49.8","5.5","1.2%"
"82","JaMycal Hasty (SF)","16","68","4.3","21","0","1","23","29","157","6.8","0","1","11","49.5","4.5","0.5%"
"83","Chris Carson (SEA)","54","232","4.3","33","0","3","6","6","29","4.8","0","1","4","48.1","12.0","36.7%"
"84","Carlos Hyde (FA)","72","253","3.5","18","0","1","12","22","65","5.4","0","2","12","45.8","3.8","0.2%"
"85","Phillip Lindsay (IND)","88","249","2.8","35","0","1","4","5","45","11.3","1","0","14","45.4","3.2","0.8%"
"86","Matt Breida (NYG)","26","125","4.8","28","0","1","7","9","72","10.3","2","1","7","42.7","6.1","1.3%"
"87","Ty'Son Williams (BAL)","35","185","5.3","35","0","1","9","12","84","9.3","0","0","8","41.9","5.2","0.7%"
"88","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","12","19","117","9.8","0","0","11","38.6","3.5","0.3%"
"89","Le'Veon Bell (FA)","39","101","2.6","12","0","2","5","7","30","6.0","1","0","8","38.1","4.8","0.3%"
"90","Ke'Shawn Vaughn (TB)","36","180","5.0","55","0","2","4","8","26","6.5","0","0","6","36.6","6.1","3.4%"
"91","Jerick McKinnon (FA)","12","62","5.2","18","0","0","13","20","107","8.2","1","0","9","35.9","4.0","7.6%"
"92","Elijhaa Penny (FA)","24","99","4.1","12","0","1","9","13","30","3.3","1","0","13","35.9","2.8","0.0%"
"93","Craig Reynolds (DET)","55","230","4.2","35","0","0","7","8","52","7.4","0","0","5","35.2","7.0","0.4%"
"94","Royce Freeman (HOU)","56","169","3.0","13","0","0","10","16","77","7.7","0","0","12","34.6","2.9","0.5%"
"95","C.J. Ham (MIN)","7","34","4.9","30","0","0","17","18","125","7.4","0","0","15","32.9","2.2","0.1%"
"96","James White (NE)","10","38","3.8","10","0","1","12","14","94","7.8","0","0","3","31.2","10.4","14.3%"
"97","Ty Montgomery (NE)","15","44","2.9","9","0","0","16","26","95","5.9","0","0","14","29.9","2.1","0.1%"
"98","Corey Clement (FA)","33","140","4.2","38","0","0","6","7","29","4.8","1","0","11","28.9","2.6","1.0%"
"99","Trey Sermon (SF)","41","167","4.1","16","0","1","3","4","26","8.7","0","0","6","28.3","4.7","9.9%"
"100","Eno Benjamin (ARI)","34","118","3.5","21","0","1","6","7","42","7.0","0","0","8","28.0","3.5","1.4%"
"101","Adrian Peterson (FA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","26.6","6.7","2.1%"
"102","Jermar Jefferson (DET)","15","74","4.9","28","0","2","4","5","23","5.8","0","0","5","25.7","5.1","0.7%"
"103","Alec Ingold (MIA)","2","1","0.5","1","0","0","10","12","85","8.5","1","0","7","24.6","3.5","0.1%"
"104","Jalen Richard (FA)","9","40","4.4","23","0","0","12","14","72","6.0","0","0","9","23.2","2.6","0.6%"
"105","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","4","5","9","2.3","0","0","9","23.0","2.6","0.7%"
"106","Malcolm Brown (MIA)","33","125","3.8","24","0","1","3","5","10","3.3","0","0","6","22.5","3.8","0.1%"
"107","Tony Jones Jr. (NO)","54","142","2.6","11","0","0","5","8","29","5.8","0","0","10","22.1","2.2","0.8%"
"108","Patrick Ricard (BAL)","2","4","2.0","2","0","0","8","13","63","7.9","1","0","8","20.7","2.6","0.1%"
"109","Jonathan Williams (WAS)","17","79","4.6","23","0","1","4","6","28","7.0","0","0","5","20.7","4.1","0.1%"
"110","Qadree Ollison (ATL)","21","105","5.0","19","0","1","4","6","12","3.0","0","1","6","19.7","3.3","0.1%"
"111","Austin Walter (FA)","26","101","3.9","14","0","1","2","3","9","4.5","0","0","4","19.0","4.8","0.1%"
"112","J.J. Taylor (NE)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","18.5","3.7","0.4%"
"113","Godwin Igwebuike (DET)","18","118","6.6","42","0","1","7","10","60","8.6","0","2","15","18.0","1.2","0.6%"
"114","Keith Smith (ATL)","9","31","3.4","8","0","0","9","10","56","6.2","0","0","13","17.7","1.4","0.0%"
"115","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","17.2","3.4","0.1%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","5","6","38","7.6","0","1","8","17.0","2.1","0.8%"
"117","Larry Rountree III (LAC)","36","87","2.4","13","0","1","1","2","-1","-1.0","0","0","10","15.6","1.6","0.7%"
"118","Michael Burton (KC)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","14.7","1.5","0.1%"
"119","Wayne Gallman Jr. (FA)","28","104","3.7","17","0","0","1","3","21","21.0","0","0","9","13.5","1.5","0.1%"
"120","Benny Snell Jr. (PIT)","36","98","2.7","9","0","0","2","4","13","6.5","0","0","16","13.1","0.8","1.0%"
"121","Marlon Mack (HOU)","28","101","3.6","22","0","0","2","5","8","4.0","0","0","6","12.9","2.2","28.3%"
"122","Ryquell Armstead (JAC)","15","80","5.3","26","0","0","3","4","16","5.3","0","0","2","12.6","6.3","0.2%"
"123","Andy Janovich (HOU)","2","0","0.0","1","0","1","3","4","9","3.0","0","0","6","11.9","2.0","0.0%"
"124","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","9.8","9.8","0.0%"
"125","Jonathan Ward (ARI)","9","33","3.7","7","0","0","3","4","34","11.3","0","0","9","9.7","1.1","0.3%"
"126","Johnny Stanton (CLE)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","9.2","3.1","0.0%"
"127","Alex Armah Jr. (WAS)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","9.2","0.9","0.1%"
"128","Deon Jackson (IND)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.4%"
"129","JaQuan Hardy (DAL)","4","29","7.3","22","0","1","0","0","0","0","0","0","2","8.9","4.5","0.1%"
"130","Wendell Smallwood (FA)","5","25","5.0","13","0","0","4","5","22","5.5","0","0","2","8.7","4.4","0.0%"
"131","Jakob Johnson (LV)","0","0","0","0","0","0","4","5","43","10.8","0","0","7","8.3","1.2","0.1%"
"132","Mike Boone (DEN)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","7.7","2.6","0.9%"
"133","Trayveon Williams (CIN)","15","51","3.4","10","0","0","1","2","4","4.0","0","0","4","6.5","1.6","0.1%"
"134","Kalen Ballage (FA)","12","36","3.0","13","0","0","2","7","8","4.0","0","0","9","6.4","0.7","0.1%"
"135","Ito Smith (FA)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"136","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","3","5","23","7.7","0","0","8","5.6","0.7","0.1%"
"137","Gabe Nabers (LAC)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","5.5","0.8","0.1%"
"138","Jaylen Samuels (ARI)","5","9","1.8","3","0","0","3","4","14","4.7","0","0","3","5.3","1.8","0.1%"
"139","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","5.1","1.0","0.1%"
"140","Jason Huntley (PHI)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.1%"
"141","Patrick Laird (MIA)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","5.1","1.7","0.0%"
"142","Dwayne Washington (NO)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","4.8","0.6","0.1%"
"143","Derek Watt (PIT)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","4.6","0.4","0.2%"
"144","Cam Akers (LAR)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","4.3","2.2","98.2%"
"145","Scottie Phillips (FA)","6","13","2.2","4","0","0","2","3","9","4.5","0","0","3","4.2","1.4","0.0%"
"146","Kylin Hill (GB)","10","24","2.4","8","0","0","1","2","5","5.0","0","0","8","3.9","0.5","0.4%"
"147","Darrynton Evans (CHI)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","3.8","1.9","0.4%"
"148","Reggie Bonnafon (WAS)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","3.6","3.6","0.0%"
"149","Trey Ragas (FA)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","3.5","3.5","0.0%"
"150","La'Mical Perine (NYJ)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.1%"
"151","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","3.0","3.0","0.0%"
"152","Anthony McFarland Jr. (PIT)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","2.4","0.8","0.3%"
"153","Raheem Mostert (MIA)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","76.2%"
"154","Gary Brightwell (NYG)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","2.0","0.3","0.4%"
"155","Ryan Nall (DAL)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","1.8","0.4","0.1%"
"156","Devine Ozigbo (NO)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","1.4","0.7","0.0%"
"157","John Kelly (CLE)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"158","Jacques Patrick (FA)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"159","Buddy Howell (LAR)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"160","Mekhi Sargent (JAC)","5","11","2.2","3","0","0","0","1","0","0","0","0","5","1.1","0.2","0.1%"
"161","Khari Blasingame (CHI)","3","6","2.0","3","0","0","2","2","4","2.0","0","1","5","1.0","0.2","0.1%"
"162","Damarea Crockett (DEN)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"163","Jake Funk (LAR)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.6%"
"164","Nathan Cottrell (JAC)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"165","Raheem Blackshear (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","CJ Verdell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7%"
"170","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.8%"
"172","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"174","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"176","Elijah Holyfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"177","Trevon Wesco (NYJ)","0","0","0","0","0","0","3","5","35","11.7","0","0","8","0.0","0.0","0.0%"
"178","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Darwin Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"180","Sutton Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"181","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"182","Artavis Pierce (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"184","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"185","Pete Guerriero (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","2","0","0","0","0","9","0.0","0.0","0.0%"
"187","Antonio Williams (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"188","Darius Bradwell (CAR)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"189","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"190","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"192","Michael Warren II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Darius Anderson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Caleb Huntley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","LeVante Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"196","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","95.9%"
"197","Travis Etienne Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.5%"
"198","Isaiah Spiller (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.4%"
"199","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"200","Keaontay Ingram (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"201","Gerrid Doaks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"202","B.J. Emmons (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"203","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"204","A.J. Rose Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Tory Carter (TEN)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"206","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"207","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Josh Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Tyrion Davis-Price (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.9%"
"211","Breece Hall (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.0%"
"212","Tyler Goodson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Jordan Mason (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","James Cook (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.3%"
"215","Kyren Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"216","Ken Walker III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.9%"
"217","Zonovan Knight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"218","Ricky Person Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Snoop Conner (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"221","Dameon Pierce (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.1%"
"222","Isaih Pacheco (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"223","Kevin Marks Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Zonovan Knight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Aaron Shampklin (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Shermari Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Tyreik McAllister (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","ZaQuandre White (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","BJ Baylor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","John Lovett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"233","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"234","Tyler Badie (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"235","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
