"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"135","DJ Chark Jr. (DET)","7","22","154","22.0","41","0","2","0","0","0","0","3","34.4","11.5","54.8%"
"136","Noah Brown (DAL)","16","25","184","11.5","27","0","0","0","0","0","0","10","34.4","3.4","0.2%"
"137","Breshad Perriman (TB)","11","18","167","15.2","58","0","1","1","-3","0","0","5","33.4","6.7","0.2%"
"138","Anthony Schwartz (CLE)","10","23","135","13.5","44","0","1","6","39","0","0","13","33.4","2.6","1.2%"
"139","Terrace Marshall Jr. (CAR)","17","30","138","8.1","23","0","0","0","0","0","0","12","32.8","2.7","1.3%"
"140","Mohamed Sanu Sr. (FA)","15","24","177","11.8","21","0","0","0","0","0","0","8","32.7","4.1","0.0%"
"141","Parris Campbell (IND)","10","20","162","16.2","51","0","1","0","0","0","0","6","32.2","5.4","1.4%"
"142","KhaDarel Hodge (ATL)","13","27","157","12.1","42","0","0","0","0","0","0","12","30.7","2.6","0.2%"
"143","Ihmir Smith-Marsette (MIN)","5","6","116","23.2","44","0","2","0","0","0","0","6","28.6","4.8","0.3%"
"144","N'Keal Harry (NE)","12","22","184","15.3","43","0","0","0","0","0","1","10","28.4","2.8","0.5%"
"145","Dee Eskridge (SEA)","10","20","64","6.4","17","0","1","4","59","0","0","8","28.3","3.5","1.3%"
"146","Dyami Brown (WAS)","12","25","165","13.8","48","0","0","1","-4","0","0","10","28.1","2.8","0.9%"
"147","Dante Pettis (CHI)","10","16","87","8.7","27","0","1","0","0","0","0","3","25.3","8.4","0.1%"
"148","Marcus Johnson (SF)","9","19","160","17.8","50","0","0","2","-2","0","0","7","24.8","3.5","0.1%"
"149","Ben Skowronek (LAR)","11","20","133","12.1","35","0","0","0","0","0","0","12","24.3","2.0","0.1%"
"150","Trent Sherfield (MIA)","9","20","87","9.7","18","0","1","0","0","0","0","12","23.7","2.0","0.1%"
"151","Jody Fortson (KC)","5","5","47","9.4","27","0","2","0","0","0","0","4","21.7","5.4","0.1%"
"152","Collin Johnson (NYG)","11","21","105","9.5","16","0","0","0","0","0","0","8","21.5","2.7","0.1%"
"153","Denzel Mims (NYJ)","8","23","133","16.6","40","0","0","0","0","0","0","10","21.3","2.1","0.6%"
"154","Trinity Benson (DET)","10","22","103","10.3","24","0","0","0","0","0","0","7","20.3","2.9","0.0%"
"155","Kristian Wilkerson (NE)","4","8","42","10.5","20","0","2","0","0","0","0","1","20.2","20.2","0.0%"
"156","Equanimeous St. Brown (CHI)","9","17","98","10.9","26","0","0","3","14","0","0","12","20.2","1.7","0.2%"
"157","Jeff Smith (NYJ)","8","17","113","14.1","35","0","0","1","-1","0","0","9","19.2","2.1","0.0%"
"158","Scotty Miller (TB)","5","9","38","7.6","13","0","0","2","43","1","0","6","19.1","3.2","0.6%"
"159","Kenny Stills (FA)","6","23","68","11.3","22","0","1","1","1","0","0","7","18.9","2.7","0.0%"
"160","Tom Kennedy (DET)","6","10","54","9.0","15","0","0","0","0","0","0","7","18.4","2.6","0.0%"
"161","Phillip Dorsett II (HOU)","7","14","110","15.7","36","0","0","1","0","0","0","5","18.0","3.6","0.2%"
"162","Dede Westbrook (FA)","10","15","68","6.8","17","0","0","0","0","0","0","15","16.8","1.1","0.1%"
"163","Shi Smith (CAR)","6","11","104","17.3","63","0","0","1","-3","0","0","5","16.1","3.2","0.1%"
"164","Dez Fitzpatrick (TEN)","5","8","49","9.8","18","0","1","0","0","0","0","3","15.9","5.3","0.2%"
"165","Dax Milne (WAS)","9","14","83","9.2","22","0","0","1","1","0","1","9","15.4","1.7","0.1%"
"166","Anthony Miller (PIT)","6","12","25","4.2","10","0","1","0","0","0","0","3","14.5","4.8","0.6%"
"167","Josh Gordon (KC)","5","14","32","6.4","11","0","1","0","0","0","0","9","14.2","1.6","0.8%"
"168","Chris Hogan (FA)","4","8","41","10.3","16","0","1","0","0","0","0","5","14.1","2.8","0.0%"
"169","Preston Williams (MIA)","6","16","71","11.8","34","0","0","1","7","0","0","6","13.8","2.3","0.2%"
"170","Penny Hart (SEA)","7","12","59","8.4","16","0","0","0","0","0","0","12","12.9","1.1","0.1%"
"171","Auden Tate (ATL)","3","4","39","13.0","18","0","1","0","0","0","0","4","12.9","3.2","0.4%"
"172","KJ Hamler (DEN)","5","10","74","14.8","28","0","0","0","0","0","0","3","12.4","4.1","1.1%"
"173","Juwann Winfree (GB)","8","13","58","7.3","12","0","0","0","0","0","1","5","11.8","2.4","0.2%"
"174","Jaelon Darden (TB)","6","12","43","7.2","29","0","0","1","11","0","0","9","11.4","1.3","0.2%"
"175","Cameron Batson (FA)","2","5","15","7.5","13","0","1","2","15","0","0","4","11.0","2.8","0.0%"
"176","Ja'Marcus Bradley (CLE)","4","4","64","16.0","37","0","0","0","0","0","0","4","10.4","2.6","0.0%"
"177","Mike Thomas (CIN)","5","11","52","10.4","19","0","0","0","0","0","0","7","10.2","1.5","0.1%"
"178","Dezmon Patmon (IND)","2","4","21","10.5","14","0","1","0","0","0","0","4","10.1","2.5","0.1%"
"179","Curtis Samuel (WAS)","6","9","27","4.5","10","0","0","4","11","0","0","5","9.8","2.0","6.4%"
"180","C.J. Board (NYG)","4","6","51","12.8","38","0","0","1","6","0","0","6","9.7","1.6","0.0%"
"181","Amari Rodgers (GB)","4","8","45","11.3","19","0","0","1","11","0","0","16","9.6","0.6","1.7%"
"182","William Fuller V (FA)","4","8","26","6.5","10","0","0","0","0","0","0","2","8.6","4.3","5.7%"
"183","Jason Moore Jr. (LAC)","3","4","56","18.7","24","0","0","0","0","0","0","1","8.6","8.6","0.1%"
"184","Alex Erickson (WAS)","3","4","55","18.3","25","0","0","0","0","0","0","17","8.5","0.5","0.0%"
"185","Andre Roberts (CAR)","1","2","35","35.0","35","0","0","3","19","0","2","16","8.4","0.5","0.1%"
"186","Cody White (PIT)","5","6","33","6.6","11","0","0","0","0","0","0","6","8.3","1.4","0.1%"
"187","Willie Snead IV (FA)","4","8","38","9.5","15","0","0","0","0","0","0","7","7.8","1.1","0.0%"
"188","Pharoh Cooper (FA)","4","11","33","8.3","15","0","0","1","3","0","0","8","7.6","1.0","0.0%"
"189","Cody Hollister (TEN)","4","7","33","8.3","14","0","0","0","0","0","0","3","7.3","2.4","0.0%"
"190","Greg Dortch (ARI)","3","3","15","5.0","10","0","0","1","24","0","0","5","6.9","1.4","0.1%"
"191","D.J. Montgomery (FA)","3","6","36","12.0","14","0","0","0","0","0","0","2","6.6","3.3","0.0%"
"192","Christian Blake (ARI)","4","10","25","6.3","8","0","0","0","0","0","0","10","6.5","0.7","0.0%"
"193","Trent Taylor (CIN)","2","3","41","20.5","26","0","0","0","0","0","0","4","6.1","1.5","0.2%"
"194","Brandon Powell (LAR)","0","0","0","0","0","0","0","0","0","0","0","6","6.0","1.0","0.1%"
"195","KJ Hill Jr. (FA)","3","3","30","10.0","19","0","0","0","0","0","0","6","6.0","1.0","0.0%"
"196","Gunner Olszewski (PIT)","2","3","31","15.5","22","0","0","1","9","0","0","16","6.0","0.4","0.1%"
"197","J.J. Arcega-Whiteside (PHI)","2","5","36","18.0","23","0","0","0","0","0","0","7","5.6","0.8","0.1%"
"198","Trenton Irwin (CIN)","2","5","34","17.0","25","0","0","0","0","0","0","5","5.4","1.1","0.1%"
"199","Kevin White (NO)","1","5","38","38.0","38","0","0","0","0","0","0","4","4.8","1.2","0.0%"
"200","Jake Kumerow (BUF)","2","6","28","14.0","15","0","0","0","0","0","0","7","4.8","0.7","0.1%"
"201","Keith Kirkwood (FA)","3","7","17","5.7","7","0","0","0","0","0","0","3","4.7","1.6","0.0%"
"202","Mike Strachan (IND)","2","3","26","13.0","16","0","0","0","0","0","0","2","4.6","2.3","0.2%"
"203","Marcus Kemp (FA)","2","5","24","12.0","16","0","0","0","0","0","0","12","4.4","0.4","0.0%"
"204","Seth Williams (DEN)","1","1","34","34.0","34","0","0","0","0","0","0","1","4.4","4.4","0.1%"
"205","Dazz Newsome (CHI)","2","5","23","11.5","13","0","0","0","0","0","0","3","4.3","1.4","0.2%"
"206","Tylan Wallace (BAL)","2","6","23","11.5","18","0","0","0","0","0","0","10","4.3","0.4","0.4%"
"207","David Sills V (NYG)","2","6","17","8.5","12","0","0","0","0","0","0","4","3.7","0.9","0.0%"
"208","Tyron Johnson (LV)","2","5","16","8.0","10","0","0","0","0","0","0","7","3.6","0.5","0.1%"
"209","Tyrell Williams (FA)","2","3","14","7.0","7","0","0","0","0","0","0","1","3.4","3.4","0.1%"
